geoid,d_rent,d_bike_km,d_income,d_pct_white,d_pct_poverty,d_pop_density,base_rent,base_bike_km,base_income
17031010100,495,1.546978350155441,37133,0.11108479804860155,-0.12464376594704046,-2565.1762481917012,786,0,31063
17031010201,275,0.5815315355388299,22305,-0.03043616615963654,-0.009016784138735356,2902.8430183786822,959,0,38766
17031010202,286,0.7929793455168521,22329,-0.07331003213981258,-0.029372391111860685,879.1363642119295,925,0,36369
17031010300,336,2.147049790691256,27021,0.03994519875932784,-0.15950150392660503,408.89640776917076,888,0,41315
17031010400,274,0.18198937273560248,5505,0.15555822497172078,-0.02412186031921487,-436.2073789074111,890,0,43125
17031010501,363,0.5403982054811757,13377,0.1740064167866362,-0.11919901356767597,-393.0464963332852,770,0,34481
17031010502,461,1.1947453460468516,27206,0.010406688609260972,-0.18980503687219702,-3959.799649799239,789,0,28607
17031010503,253,0.445131515391146,-1774,0.1447263642935941,0.15468176366769143,1646.0516511714304,663,0,20524
17031010600,299,3.1653260633402738,16077,0.22230993302422108,-0.028702366643506838,-1597.5728647735923,874,0,50236
17031010701,332,0.6290669500564791,15852,0.03913395547285936,-0.0077131001713105635,-1104.1877706752603,951,0,54690
17031010702,470,0.7554653131797875,12388,0.016524185206168274,-0.13188405358186012,-1799.660036903746,888,0,39805
17031020100,263,0,6949,-0.06751181372756385,-0.005016635022383253,595.6439401494663,1053,0,50080
17031020200,391,0.8053837377796906,54590,-0.09546266206565795,-0.16315297151317765,406.0222521264368,961,0,62415
17031020301,477,0.5397207787283862,18539,-7.820501090546328e-4,0.05945373893855126,531.0238723532757,836,0,55000
17031020302,460,0.0018327692413756922,28024,0.08957029765626534,-0.05682631344198152,1181.7172831414928,979,0,56181
17031020400,358,0.5990126088717764,24062,-0.19680463281999971,0.03313507462977626,5.365774769613381,982,0,52545
17031020500,293,0.8190755930073788,7493,-0.0655611923746394,0.13074394609413906,725.6583990993422,960,0,36455
17031020601,407,0.5982813343236728,17999,-0.04150321336590462,-0.020010218071893376,-1842.690073772943,1054,0,43047
17031020602,538,0.6051844985366663,42453,0.12855933584637153,-0.10773886644842229,2614.060136831111,937,0,41386
17031020701,119,0.23541052721964403,11695,-0.014884897490279325,-0.1409245268239338,-266.6775174090508,1319,0,80329
17031020702,366,1.6759562979676361,27647,0.026721100282193766,0.051089271285795795,1237.586185836377,888,0,41250
17031020801,399,0.5771645445942742,19453,-0.014625160447144459,-0.1169104103394957,847.7532897193469,950,0,52500
17031020802,397,0.8081406249680408,22806,-0.03557408644569887,-0.11288494909877547,1899.3327032655998,1028,0,39406
17031020901,331,0.667425062718451,11817,-0.008026078209241283,-0.03733711885790081,966.2899279655139,1040,0,38426
17031020902,466,0.5649675197379156,10578,-0.1396918717251595,0.07515160138331484,-230.27840176092832,827,0,38854
17031030101,335,0.5027319409937274,12875,-0.061949497800351916,-0.0340574113324707,-2227.1134067418934,797,0,37821
17031030102,380,0.7171454825400009,21484,-0.10577065598021257,0.026179017979325314,-806.2919756613119,763,0,33583
17031030103,560,0.47336237097831063,27588,-0.06931515276496142,-0.09990156705252379,4682.2555617775215,658,0,26096
17031030104,555,0.40698801618648384,13328,0.0900909035314601,-0.10043118509748311,-5251.181379367983,829,0,32537
17031030200,422,3.1808069348646817,24291,-0.027695379247353435,0.003454719448218818,-252.60255381706338,972,0,67115
17031030300,281,0.4706172963498334,31978,-0.07356789555693971,-0.0960210966288472,2595.6595966102504,859,0,32684
17031030400,629,1.923226776245262,60286,0.07552880888406677,-0.05091459985182878,758.0626403435244,772,0,36857
17031030500,566,1.2124270126387815,46752,0.0838591502371605,-0.09601117159623634,-303.3125505769458,1004,0,62623
