geoid,name,year,median_rent,median_income,total_population,total_housing_units,pct_white_nonhisp,pct_poverty,total_bike_length_m,bike_length_km,tract_area_km2,pop_density
17031824122,"Census Tract 8241.22, Cook County, Illinois",2016,1127,91364,6236,2301,0.8948043617703656,0.08450930083386786,0,0,3.985894839825614,1564.5169405103597
17031824123,"Census Tract 8241.23, Cook County, Illinois",2012,960,79423,8114,2894,0.8151343357160463,0.014542765590337688,0,0,3.9431668541523486,2057.7369155595225
17031824123,"Census Tract 8241.23, Cook County, Illinois",2016,1047,73786,8049,2878,0.7778606038017145,0.1067213318424649,0,0,3.9431668541523486,2041.2527031474733
17031824123,Census Tract 8241.23; Cook County; Illinois,2022,1709,97852,7648,2963,0.7310407949790795,0.031888259322703914,0,0,3.9431668541523486,1939.5577927285221
17031824124,Census Tract 8241.24; Cook County; Illinois,2022,1261,65250,2909,1271,0.5510484702646957,0.15389972144846797,0,0,1.9995623851227826,1454.8183250713498
17031824125,Census Tract 8241.25; Cook County; Illinois,2022,2455,117917,4443,1508,0.8269187485932928,0.010607086436470323,0,0,1.8930543946243972,2347.0007056408645
17031824129,Census Tract 8241.29; Cook County; Illinois,2022,1792,95953,4074,1766,0.8721158566519391,0.08423215202876219,0,0,7.185591139467629,566.9679669948264
17031824300,"Census Tract 8243, Cook County, Illinois",2012,732,25851,5103,2258,0.043699784440525184,0.23810544363480496,0,0,4.0139323364539345,1271.3218789602693
17031824300,"Census Tract 8243, Cook County, Illinois",2016,800,27861,4260,2076,0.04037558685446009,0.3224724484906564,0,0,4.0139323364539345,1061.3033910191548
17031824300,Census Tract 8243; Cook County; Illinois,2022,964,59423,4891,1742,0.04334491923941934,0.3112331081081081,0,0,4.0139323364539345,1218.5058416607246
17031824400,"Census Tract 8244, Cook County, Illinois",2012,809,45500,2312,806,0.4134948096885813,0.14528301886792452,0,0,3.1325555868788744,738.0555383228057
17031824400,"Census Tract 8244, Cook County, Illinois",2016,840,36571,2397,972,0.39132248644138506,0.17828474862695395,0,0,3.1325555868788744,765.1899331140853
17031824400,Census Tract 8244; Cook County; Illinois,2022,1094,43750,1855,803,0.5897574123989219,0.1684887459807074,0,0,3.1325555868788744,592.1682627979258
17031824503,"Census Tract 8245.03, Cook County, Illinois",2012,896,67321,6528,2943,0.828890931372549,0.04460966542750929,0,0,12.426443960834371,525.3313031930077
17031824503,"Census Tract 8245.03, Cook County, Illinois",2016,872,61384,7183,3339,0.8283447027704302,0.042182931922595014,0,0,12.426443960834371,578.0414753117914
17031824503,Census Tract 8245.03; Cook County; Illinois,2022,1309,79948,6135,2846,0.7801140994295028,0.06128769356153219,0,0,12.426443960834371,493.70519992173746
17031824505,"Census Tract 8245.05, Cook County, Illinois",2012,961,57220,6853,2440,0.8119071939296658,0.06350599941469125,0,0,2.704877437039302,2533.571357488619
17031824505,"Census Tract 8245.05, Cook County, Illinois",2016,957,84588,6703,2629,0.8488736386692526,0.05549753841563479,0,0,2.704877437039302,2478.11597975284
17031824505,Census Tract 8245.05; Cook County; Illinois,2022,1297,73739,6484,2570,0.6907772979642196,0.02534775888717156,0,0,2.704877437039302,2397.1511282586025
17031824506,"Census Tract 8245.06, Cook County, Illinois",2012,1026,78859,7921,3106,0.8216134326473931,0.06034591591970711,NA,NA,NA,NA
17031824506,"Census Tract 8245.06, Cook County, Illinois",2016,1134,69338,7574,3241,0.8644045418537101,0.02310536044362292,NA,NA,NA,NA
17031824507,"Census Tract 8245.07, Cook County, Illinois",2012,959,66696,4393,1809,0.7730480309583428,0.057235171936302794,0,0,5.1473013169748265,853.456933930158
17031824507,"Census Tract 8245.07, Cook County, Illinois",2016,1005,59643,4250,1791,0.8063529411764706,0.14735099337748345,0,0,5.1473013169748265,825.675385659725
17031824507,Census Tract 8245.07; Cook County; Illinois,2022,1657,88889,3650,1809,0.7794520547945205,0.07123287671232877,0,0,5.1473013169748265,709.1094488607049
17031824508,Census Tract 8245.08; Cook County; Illinois,2022,1161,69857,3188,1722,0.8387703889585947,0.07434127979924718,0,0,3.6172148096136625,881.3410780933121
17031824509,Census Tract 8245.09; Cook County; Illinois,2022,1214,116310,5104,1600,0.8219043887147336,0.029250098154691793,0,0,2.91813741914234,1749.060879216613
17031824601,"Census Tract 8246.01, Cook County, Illinois",2012,1254,67917,4344,1675,0.7787753222836096,0.050533147890588784,0,0,3.4081190984500642,1274.6033441071802
